trial,val_loss,train_loss,history_len,hidden_dim,batch_size,learning_rate,weight_decay
1,530.3086518521167,1388.0547368751795,14,64,64,4.580952279880392e-05,3.615361376737862e-06
2,537.4710108846494,1266.136772186402,9,256,32,0.003885160452460467,3.01653721935672e-05
3,548.3591093504183,1160.089579299583,33,64,32,0.00010579008646014216,1.4397012657204933e-05
4,511.54230462604585,1154.514242626686,24,512,128,4.9592760824031864e-05,1.632181479504724e-05
5,504.7849816643128,1029.6870761875718,11,512,16,0.0003878539486513926,0.002748822482054525
6,533.6899348418282,1219.2157695261785,29,64,128,0.00031207427110060574,0.00019193859262767724
7,525.3030227905552,862.5265200847202,42,256,32,0.0003184714841785479,0.00013776993173430504
8,516.9435195748266,1067.8720115984734,24,512,128,7.36893632437226e-05,2.4474539781462796e-06
9,516.3332798868349,919.710831897267,11,512,32,0.00014799270324329568,0.0017450436332252432
10,488.1032334246952,991.8203757431464,12,256,16,0.00010346123237052922,0.00940978290903357
11,500.2898761391367,1013.0134430194572,13,256,16,6.370038081027851e-05,0.00045631150279195525
12,537.008598764101,961.0415766539844,14,256,16,0.00033810270784321466,0.003277854230396362
13,512.5374934635119,1287.816295570113,12,256,32,1.2983844655454511e-05,0.00380942817101606
14,513.2701532638864,1104.3554753301612,12,256,16,0.0007380051454426074,0.006639372809735682
15,495.9604992899251,958.6995070854755,12,256,16,0.00013520833504884015,0.00015391470543530772
16,497.4286867748409,1050.5150485315382,13,512,16,2.386236694070668e-05,0.00046648824819571917
17,510.90410427206984,1196.9724964928448,13,256,16,1.688356492327694e-05,0.0029309472526649707
18,512.0420933075301,1113.6934550971853,11,512,16,1.712401162816193e-05,0.00037386360030353485
19,508.1353557246228,914.9551038922831,13,512,16,8.691724087584982e-05,4.6907270672744604e-05
20,516.8444556753477,1215.1786409740027,12,256,16,1.6058034997133922e-05,6.528049807326391e-06
21,501.43104682416066,1196.517319198591,11,256,16,1.9258509085045615e-05,0.009754319171028291
22,506.1486427429339,1098.0283060172396,11,256,16,3.985160374248582e-05,0.002399052487731161
23,512.4932656015357,1263.6253416146806,11,64,16,5.19355275048162e-05,0.0013856320115400822
24,511.100705074773,1173.336360142982,21,256,128,7.61855885254301e-05,0.0013233514576829243
25,507.7397747258027,1136.5711247249476,12,128,16,6.777614131562017e-05,0.00010781785080863465
26,531.876577137264,1176.855695733277,23,256,16,1.2749672236667405e-05,0.0008914670194232952
27,491.7687463127503,886.484075484384,12,512,16,0.0001107042179475565,0.003023662105692816
28,515.9187897217356,909.1226614193757,19,512,128,0.0004514072714751767,1.74606731989711e-05
29,527.2954671410183,934.7866583492029,12,256,16,0.00025653456170632056,0.0015025862513865815
30,497.9032902139275,961.1484592582274,11,512,16,5.7279378971491576e-05,0.001332627356745399
31,525.9306187400556,1136.7080043067472,13,512,16,1.4034981790060237e-05,9.711447152045063e-05
32,507.70699884689645,1311.4387033345436,9,512,64,1.1456312596975821e-05,0.006053617269657089
33,495.7546474011594,1059.3457801584736,8,256,16,7.402827642540793e-05,0.003406496552453106
34,499.30845917935227,1237.9038820039723,8,256,16,1.7574820645760817e-05,0.008990594897697487
35,501.92187772353674,1220.7897619544913,7,512,16,1.1428762239218327e-05,8.730423994489464e-05
36,519.7206859457684,1034.5144611323644,7,256,16,0.0003670840378639947,0.005077005300940871
37,486.8957454585374,999.7679753262491,9,512,16,4.681932210891733e-05,0.0019695884917016963
38,503.49281970969054,1031.1595732216033,8,512,16,4.0665837088284226e-05,0.000657865391469809
39,503.3096083023455,1196.7866219336834,7,512,32,1.8802007485234967e-05,0.0036548757841897653
40,490.5270166462564,1112.242986024332,8,512,16,2.091003478760627e-05,0.0015712789446566666
41,500.5073901423055,1245.37079221393,7,256,16,1.5671299006420107e-05,0.003337520783327813
42,503.9907037311615,952.250371148377,9,512,32,0.0001416880199543076,0.0018874377408255496
43,500.4725255202374,1283.465694882454,7,512,64,1.5819240302355348e-05,0.009122350458636285
44,500.10840521142467,1126.341862324869,11,512,32,2.6160525892894184e-05,0.004723599359072987
45,492.6688442623042,995.6914068803114,9,256,16,0.00010062368712036705,0.009027075813775615
46,501.5041061156947,1204.9610592287959,10,512,16,1.0029477667273284e-05,0.0014199955824069847
47,494.54795819943774,972.4880899528326,8,512,16,0.0003658345168828878,0.009919835453338154
48,495.22570758880687,1153.7070738766172,7,512,16,1.771706911598519e-05,0.00394676568870008
49,498.68578535904874,1197.567202823571,9,256,16,2.0115418655569288e-05,0.00463583747364223
50,496.87075966282896,1024.8647056603656,8,512,32,6.272801082682225e-05,0.0036669376681624922
