Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
05/10/2026 05:00,N.Y.C.,61761,33.79,2.45,0.00
05/10/2026 05:00,NORTH,61755,30.93,-0.41,0.00
05/10/2026 05:00,NPX,61845,43.70,1.63,-10.73
05/10/2026 05:00,O H,61846,28.67,-2.66,0.01
05/10/2026 05:00,PJM,61847,31.28,-0.06,0.00
05/10/2026 05:00,WEST,61752,28.76,-2.57,0.01
05/10/2026 06:00,CAPITL,61757,36.53,1.54,0.00
05/10/2026 06:00,CENTRL,61754,34.74,-0.24,0.00
05/10/2026 06:00,DUNWOD,61760,37.48,2.48,0.00
05/10/2026 06:00,GENESE,61753,33.23,-1.75,0.01
05/10/2026 06:00,H Q,61844,34.75,-0.24,0.00
05/10/2026 06:00,HUD VL,61758,37.20,2.21,0.00
05/10/2026 06:00,LONGIL,61762,38.26,3.25,-0.01
05/10/2026 06:00,MHK VL,61756,36.04,1.05,0.00
05/10/2026 06:00,MILLWD,61759,37.37,2.38,0.00
05/10/2026 06:00,N.Y.C.,61761,37.58,2.59,0.00
05/10/2026 06:00,NORTH,61755,34.64,-0.35,0.00
05/10/2026 06:00,NPX,61845,46.10,1.78,-9.33
05/10/2026 06:00,O H,61846,31.90,-3.08,0.01
05/10/2026 06:00,PJM,61847,34.88,-0.10,0.01
05/10/2026 06:00,WEST,61752,32.00,-2.97,0.02
05/10/2026 07:00,CAPITL,61757,35.81,1.44,0.00
05/10/2026 07:00,CENTRL,61754,34.09,-0.28,0.00
05/10/2026 07:00,DUNWOD,61760,37.02,2.65,0.00
05/10/2026 07:00,GENESE,61753,32.69,-1.68,0.00
05/10/2026 07:00,H Q,61844,34.13,-0.24,0.00
05/10/2026 07:00,HUD VL,61758,36.67,2.30,0.00
05/10/2026 07:00,LONGIL,61762,37.82,3.44,-0.01
05/10/2026 07:00,MHK VL,61756,35.30,0.93,0.00
05/10/2026 07:00,MILLWD,61759,36.88,2.51,0.00
05/10/2026 07:00,N.Y.C.,61761,37.12,2.75,0.00
05/10/2026 07:00,NORTH,61755,33.89,-0.48,0.00
05/10/2026 07:00,NPX,61845,42.90,1.82,-6.71
05/10/2026 07:00,O H,61846,31.52,-2.85,0.00
05/10/2026 07:00,PJM,61847,34.44,0.07,0.00
05/10/2026 07:00,WEST,61752,31.61,-2.75,0.00
05/10/2026 08:00,CAPITL,61757,32.89,1.11,0.00
05/10/2026 08:00,CENTRL,61754,31.26,-0.51,0.00
05/10/2026 08:00,DUNWOD,61760,34.32,2.54,0.00
05/10/2026 08:00,GENESE,61753,29.70,-2.07,0.01
05/10/2026 08:00,H Q,61844,31.65,-0.13,0.00
05/10/2026 08:00,HUD VL,61758,33.88,2.10,0.00
05/10/2026 08:00,LONGIL,61762,35.03,3.24,-0.01
05/10/2026 08:00,MHK VL,61756,32.45,0.67,0.00
05/10/2026 08:00,MILLWD,61759,34.16,2.38,0.00
05/10/2026 08:00,N.Y.C.,61761,34.41,2.64,0.00
05/10/2026 08:00,NORTH,61755,31.40,-0.38,0.00
05/10/2026 08:00,NPX,61845,43.40,1.65,-9.97
05/10/2026 08:00,O H,61846,28.62,-3.15,0.01
05/10/2026 08:00,PJM,61847,31.74,-0.03,0.01
05/10/2026 08:00,WEST,61752,28.87,-2.89,0.02
05/10/2026 09:00,CAPITL,61757,28.90,0.95,0.00
05/10/2026 09:00,CENTRL,61754,27.44,-0.50,0.00
05/10/2026 09:00,DUNWOD,61760,30.35,2.40,0.00
05/10/2026 09:00,GENESE,61753,26.12,-1.82,0.01
05/10/2026 09:00,H Q,61844,27.84,-0.11,0.00
05/10/2026 09:00,HUD VL,61758,29.91,1.96,0.00
05/10/2026 09:00,LONGIL,61762,31.01,3.05,-0.01
05/10/2026 09:00,MHK VL,61756,28.29,0.34,0.00
05/10/2026 09:00,MILLWD,61759,30.19,2.24,0.00
05/10/2026 09:00,N.Y.C.,61761,30.55,2.60,0.00
05/10/2026 09:00,NORTH,61755,27.59,-0.36,0.00
05/10/2026 09:00,NPX,61845,39.47,1.54,-9.98
